"run","tick","OriginOfConsumedResouces"
1,5.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|390626.12;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,5.0,"South America:Northern America|79244.12;South America|1304713.96;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8335.53;Western Europe|91202.68;Oceania|22399.57;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|154397.52;China|0.0;"
1,5.0,"Northern Africa:Northern America|218489.04;South America|0.0;Central Asia|0.0;Eastern Europe|13128.0;Northern Europe|23329.55;Western Europe|255235.48;Oceania|113034.24;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|428810.37;China|0.0;"
1,5.0,"Southern Asia:Northern America|79586.26;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8497.66;Western Europe|92971.34;Oceania|42370.63;Russian Federation|0.0;India|0.0;Pakistan|4780.0;United States of America|155003.03;China|0.0;"
1,5.0,"Eastern Europe:Northern America|120869.58;South America|0.0;Central Asia|0.0;Eastern Europe|3216824.21;Northern Europe|12714.55;Western Europe|139107.3;Oceania|19102.55;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|235498.24;China|0.0;"
1,5.0,"Middle Africa:Northern America|9122.08;South America|0.0;Central Asia|0.0;Eastern Europe|572.0;Northern Europe|1020.87;Western Europe|11158.4;Oceania|5230.03;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18889.6;China|0.0;"
1,5.0,"Central America:Northern America|77063.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8107.66;Western Europe|88690.94;Oceania|36999.63;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|154707.39;China|0.0;"
1,5.0,"Southern Africa:Northern America|21116.74;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2362.0;Western Europe|25830.84;Oceania|12104.18;Russian Federation|0.0;India|1328.0;Pakistan|0.0;United States of America|43731.13;China|0.0;"
1,5.0,"South-Eastern Asia:Northern America|109260.96;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11845.09;Western Europe|129583.22;Oceania|62387.41;Russian Federation|0.0;India|3332.0;Pakistan|0.0;United States of America|216039.95;China|1666.0;"
1,5.0,"China:Northern America|177286.48;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21737.83;Western Europe|237829.56;Oceania|111442.9;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|314541.19;China|8775795.7;"
1,5.0,"Pakistan:Northern America|57748.26;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6571.03;Western Europe|71881.94;Oceania|33682.99;Russian Federation|0.0;India|0.0;Pakistan|1258766.86;United States of America|107561.28;China|0.0;"
1,5.0,"Eastern Asia:Northern America|189528.54;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20546.11;Western Europe|224779.44;Oceania|105326.66;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|374755.23;China|11560.0;"
